,scenario,model,estimate,threshold.Wind,,slope.Wind,,,,,var_slope.Wind,var_threshold.Wind,,var_slope.DayPrecip,var_threshold.DayPrecip,var_slope.Precip,var_threshold.Precip,bic,log_likelihood,aic,
43,scenario8,TRUE,TRUE,69.89,5.93,0.2,2.78E-17,,,,7.70E-34,35.11315559,5.93,,,,,,,,
44,scenario8,Wind+DayPrecip,bhm,,0,,0,,,,,,0.00,,,,,,,,
45,scenario8,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
46,scenario8,Wind,bhm,66.62,0.44,0.196895353,1.54E-03,,,,2.36E-06,0.193918156,0.44,,,,,,,,
47,scenario8,Wind,mle,66.57,0.44,0.196895353,1.54E-03,,,,2.36E-06,0.193918156,0.44,,,,,50531,-25254.01571,-50512.03143,
48,scenario9,TRUE,TRUE,75.00,0.00,0.2,2.78E-17,,,,7.70E-34,0,0.00,,,,,,,,
49,scenario9,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
50,scenario9,Wind,bhm,66.80,0.86,0.238638971,3.79E-03,,,,1.44E-05,0.738468017,0.86,,,,,,,,
51,scenario9,Wind,mle,66.71,0.86,0.238638971,3.79E-03,,,,1.44E-05,0.738468017,0.86,,,,,7781,-3879.2196,-7762.439201,
52,scenario10,TRUE,TRUE,74.95,2.47,0.2,2.78E-17,,,,7.70E-34,6.096034064,2.47,,,,,,,,
53,scenario10,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
54,scenario10,Wind,bhm,67.33,0.72,0.232035631,3.06E-03,,,,9.35E-06,0.523558703,0.72,,,,,,,,
55,scenario10,Wind,mle,67.26,0.72,0.232035631,3.06E-03,,,,9.35E-06,0.523558703,0.72,,,,,9524,-4750.432285,-9504.864571,
56,scenario11,TRUE,TRUE,74.91,4.94,0.2,2.78E-17,,,,7.70E-34,24.38414156,4.94,,,,,,,,
57,scenario11,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
58,scenario11,Wind,bhm,67.66,0.59,0.220177612,2.33E-03,,,,5.45E-06,0.352020285,0.59,,,,,,,,
59,scenario11,Wind,mle,67.60,0.59,0.220177612,2.33E-03,,,,5.45E-06,0.352020285,0.59,,,,,15515,-7746.267367,-15496.53473,
60,scenario12,TRUE,TRUE,74.86,7.41,0.2,2.78E-17,,,,7.70E-34,54.86431472,7.41,,,,,,,,
61,scenario12,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
62,scenario12,Wind,bhm,69.15,0.56,0.199443734,1.91E-03,,,,3.65E-06,0.31777689,0.56,,,,,,,,
63,scenario12,Wind,mle,69.09,0.56,0.199443734,1.91E-03,,,,3.65E-06,0.31777689,0.56,,,,,31387,-15682.08406,-31368.16812,
64,scenario13,TRUE,TRUE,66.00,2.00,0.2,2.78E-17,,,,7.70E-34,4.00040004,2.00,,,,,,,,
65,scenario13,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
66,scenario13,Wind,bhm,65.54,0.40,0.19814116,1.45E-03,,,,2.10E-06,0.162564786,0.40,,,,,,,,
67,scenario13,Wind,mle,65.50,0.40,0.19814116,1.45E-03,,,,2.10E-06,0.162564786,0.40,,,,,55644,-27810.76436,-55625.52871,
68,scenario14,TRUE,TRUE,65.98,2.55,0.2,2.78E-17,,,,7.70E-34,6.501924915,2.55,,,,,,,,
69,scenario14,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
70,scenario14,Wind,bhm,65.04,0.38,0.199108732,1.39E-03,,,,1.92E-06,0.142425182,0.38,,,,,,,,
71,scenario14,Wind,mle,65.00,0.38,0.199108732,1.39E-03,,,,1.92E-06,0.142425182,0.38,,,,,57327,-28652.36006,-57308.72012,
72,scenario15,TRUE,TRUE,65.95,3.75,0.2,2.78E-17,,,,7.70E-34,14.04292148,3.75,,,,,,,,
73,scenario15,Wind+Precip,bhm,63.85948935,0.347936327,0.200853644,0.00139779,,,,1.95E-06,0.121059688,0.35,,,0.477761998,8.69E-07,,,,
74,scenario15,Wind+Precip,mle,63.89548276,0.347936327,0.200853644,0.00139779,,,,1.95E-06,0.121059688,0.35,,,0.477761998,8.69E-07,62090,-31022.26209,-62052.52418,
75,scenario15,Wind,bhm,63.78,0.32,0.201405753,1.21E-03,,,,1.46E-06,0.102471806,0.32,,,,,,,,
76,scenario15,Wind,mle,63.74,0.32,0.201405753,1.21E-03,,,,1.46E-06,0.102471806,0.32,,,,,62068,-31022.53034,-62049.06068,
77,scenario16,TRUE,TRUE,64.50,5.22,0.2,2.78E-17,,,,7.70E-34,27.25272528,5.22,,,,,,,,
78,scenario16,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
79,scenario16,Wind,bhm,57.43,0.16,0.210145298,7.43E-04,,,,5.51E-07,0.026892854,0.16,,,,,,,,
80,scenario16,Wind,mle,57.41,0.16,0.210145298,7.43E-04,,,,5.51E-07,0.026892854,0.16,,,,,103968,-51972.65508,-103949.3102,
81,scenario17,TRUE,TRUE,64.48,5.47,0.2,2.78E-17,,,,7.70E-34,29.8928129,5.47,,,,,,,,
82,scenario17,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
83,scenario17,Wind,bhm,57.20,0.17,0.210110098,7.78E-04,,,,6.06E-07,0.029766214,0.17,,,,,,,,
84,scenario17,Wind,mle,57.22,0.17,0.210110098,7.78E-04,,,,6.06E-07,0.029766214,0.17,,,,,107052,-53514.71506,-107033.4301,
85,scenario18,TRUE,TRUE,64.46,6.08,0.2,2.78E-17,,,,7.70E-34,36.96272434,6.08,,,,,,,,
86,scenario18,Wind+Precip,bhm,,0,,0,,,,,,0.00,,,,,,,,
87,scenario18,Wind,bhm,56.92,0.16,0.210041973,7.47E-04,,,,5.58E-07,0.026875911,0.16,,,,,,,,
88,scenario18,Wind,mle,56.90,0.16,0.210041973,7.47E-04,,,,5.58E-07,0.026875911,0.16,,,,,111102,-55539.6811,-111083.3622,
89,scenario19,TRUE,TRUE,65.00,0.00,0.2,2.78E-17,,,,7.70E-34,0,0.00,0,1.23E-32,,,,,,
