,scenario,model,estimate,threshold.Wind,slope.Wind,threshold.DayPrecip,slope.DayPrecip,threshold.Precip,slope.Precip,threshold.WindStorm,slope.WindStorm,var_slope.WindStorm,var_threshold.WindStorm,var_slope.Wind,var_threshold.Wind,var_slope.DayPrecip,var_threshold.DayPrecip,var_slope.Precip,var_threshold.Precip,bic,log_likelihood,aic
0,scenario24,true,true,70.0,0.20000000000003176,0.899999999999831,15.0,,,,,,,7.704490226571602e-34,0.0,0.0,1.2327184362514563e-32,,,,,
1,scenario24,Wind+DayPrecip,bhm,22.022359919802128,0.24904393888111623,1.3940562336970261,19.979408516202525,,,,,,,0.0010992026760501595,4.546029472104945,5.412267210007542,0.0023878658632395145,,,,,
2,scenario24,Wind+DayPrecip,mle,15.625933945170317,0.24904393888111623,1.3940562336970261,13.000124535014493,,,,,,,0.0010992026760501595,4.546029472104945,5.412267210007542,0.0023878658632395145,,,32635.067901358747,-16294.772878125525,-32597.54575625105
3,scenario24,Wind,bhm,110.00914850909574,0.1603359036180462,,,,,,,,,1.2454191704552079e-05,4.232735938976738,,,,,,,
4,scenario24,Wind,mle,103.83706430270398,0.1603359036180462,,,,,,,,,1.2454191704552079e-05,4.232735938976738,,,,,47291.192119123334,-23634.215523284744,-47272.43104656949
5,scenario24,Wind+DayPrecip+WindStorm,bhm,69.0,0.12046666550826352,0.9789473684213419,4.054060219724728,,,9.947368421037428,0.18982189782230918,2.147874691160243e-05,3.155478681368724e-30,2.7949404811240375e-07,0.0,0.005198141450883493,1.2326088599096578e-32,,,,,
6,scenario24,Wind+DayPrecip+WindStorm,mle,69.0,0.12046666550826352,0.9789473684213419,4.054060219724728,,,9.947368421037428,0.18982189782230918,2.147874691160243e-05,3.155478681368724e-30,2.7949404811240375e-07,0.0,0.005198141450883493,1.2326088599096578e-32,,,14162.369986643596,-7047.043384491025,-14106.08676898205
7,scenario28,true,true,75.0,0.20000000000003176,0.0,5.0,,,,,,,7.704490226571602e-34,0.0,0.0,0.0,,,,,
8,scenario28,Wind+DayPrecip,bhm,65.0,0.16386052327680053,0.821052631578933,7.150662389306541,,,,,,,4.857538908801103e-07,0.0,0.006133111032768513,1.2874877765875986e-29,,,,,
9,scenario28,Wind+DayPrecip,mle,65.0,0.16386052327680053,0.821052631578933,7.150662389306541,,,,,,,4.857538908801103e-07,0.0,0.006133111032768513,1.2874877765875986e-29,,,3028.7898718239812,-1491.6338633581418,-2991.2677267162835
10,scenario28,Wind,bhm,65.0,0.24606030154489922,,,,,,,,,4.277429657437983e-07,0.0,,,,,,,
11,scenario28,Wind,mle,65.0,0.24606030154489922,,,,,,,,,4.277429657437983e-07,0.0,,,,,8071.782059317213,-4024.510493381682,-8053.020986763364
12,scenario28,Wind+DayPrecip+WindStorm,bhm,69.0,0.14070755496156553,0.9789473684210543,4.622497193464166,,,9.947368421053248,0.20452761482470527,3.590493039105341e-05,3.156074709608224e-30,4.873730642614618e-07,0.0,0.007371452634708306,1.2328416834407125e-32,,,,,
13,scenario28,Wind+DayPrecip+WindStorm,mle,69.0,0.14070755496156553,0.9789473684210543,4.622497193464166,,,9.947368421053248,0.20452761482470527,3.590493039105341e-05,3.156074709608224e-30,4.873730642614618e-07,0.0,0.007371452634708306,1.2328416834407125e-32,,,2929.1289349029867,-1430.4228586207198,-2872.8457172414396
